"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세"
"서울특별시 양천구 신월2동(1147057000)","20,700","85","85"
"서울특별시 양천구 신월3동(1147058000)","14,146","57","57"
"서울특별시 양천구 신월4동(1147059000)","17,310","67","67"
"서울특별시 양천구 신월5동(1147060000)","13,948","36","36"
"서울특별시 양천구 신월6동(1147061000)","13,789","113","113"
"서울특별시 양천구 신월7동(1147061100)","18,475","71","71"
"서울특별시 양천구 신정1동(1147062000)","19,601","45","45"
"서울특별시 양천구 신정2동(1147063000)","18,636","45","45"
"서울특별시 양천구 신정3동(1147064000)","49,075","175","175"
"서울특별시 양천구 신정4동(1147065000)","31,651","102","102"
"서울특별시 양천구 신정6동(1147067000)","23,903","64","64"
"서울특별시 양천구 신정7동(1147068000)","28,180","101","101"
"서울특별시 강서구 (1150000000)","559,335","2,363","2,363"
"서울특별시 강서구 염창동(1150051000)","41,299","323","323"
"서울특별시 강서구 등촌제1동(1150052000)","25,039","148","148"
"서울특별시 강서구 등촌제2동(1150053000)","19,192","86","86"
"서울특별시 강서구 등촌제3동(1150053500)","29,198","128","128"
"서울특별시 강서구 화곡제1동(1150054000)","50,224","197","197"
"서울특별시 강서구 화곡제2동(1150055000)","16,977","33","33"
"서울특별시 강서구 화곡제3동(1150056000)","20,949","69","69"
"서울특별시 강서구 화곡제4동(1150057000)","19,490","60","60"
"서울특별시 강서구 화곡본동(1150059000)","32,693","88","88"
"서울특별시 강서구 화곡제6동(1150059100)","25,883","119","119"
"서울특별시 강서구 화곡제8동(1150059300)","23,001","56","56"
"서울특별시 강서구 가양제1동(1150060300)","33,639","120","120"
"서울특별시 강서구 가양제2동(1150060400)","13,340","39","39"
"서울특별시 강서구 가양제3동(1150060500)","13,965","116","116"
"서울특별시 강서구 발산제1동(1150061100)","35,391","127","127"
"서울특별시 강서구 우장산동(1150061500)","43,582","156","156"
"서울특별시 강서구 공항동(1150062000)","29,417","125","125"
"서울특별시 강서구 방화제1동(1150063000)","41,594","149","149"
"서울특별시 강서구 방화제2동(1150064000)","22,638","97","97"
"서울특별시 강서구 방화제3동(1150064100)","21,824","127","127"
"서울특별시 구로구 (1153000000)","390,169","1,865","1,865"
"서울특별시 구로구 신도림동(1153051000)","36,047","241","241"
"서울특별시 구로구 구로제1동(1153052000)","20,479","143","143"
"서울특별시 구로구 구로제2동(1153053000)","22,305","47","47"
"서울특별시 구로구 구로제3동(1153054000)","23,118","91","91"
"서울특별시 구로구 구로제4동(1153055000)","18,438","54","54"
"서울특별시 구로구 구로제5동(1153056000)","29,145","168","168"
"서울특별시 구로구 가리봉동(1153059500)","8,737","17","17"
"서울특별시 구로구 고척제1동(1153072000)","26,648","219","219"
"서울특별시 구로구 고척제2동(1153073000)","25,624","79","79"
"서울특별시 구로구 개봉제1동(1153074000)","32,812","177","177"
"서울특별시 구로구 개봉제2동(1153075000)","29,504","126","126"
"서울특별시 구로구 개봉제3동(1153076000)","19,404","56","56"
"서울특별시 구로구 오류제1동(1153077000)","22,604","101","101"
"서울특별시 구로구 오류제2동(1153078000)","36,483","136","136"
"서울특별시 구로구 수궁동(1153079000)","22,556","92","92"
"서울특별시 구로구 항동(1153080000)","16,265","118","118"
"서울특별시 금천구 (1154500000)","226,672","782","782"
"서울특별시 금천구 가산동(1154551000)","24,995","59","59"
"서울특별시 금천구 독산제1동(1154561000)","46,979","276","276"
"서울특별시 금천구 독산제2동(1154562000)","17,622","52","52"
"서울특별시 금천구 독산제3동(1154563000)","23,300","66","66"
"서울특별시 금천구 독산제4동(1154564000)","14,374","23","23"
"서울특별시 금천구 시흥제1동(1154567000)","31,846","106","106"
"서울특별시 금천구 시흥제2동(1154568000)","20,337","83","83"
"서울특별시 금천구 시흥제3동(1154569000)","10,211","22","22"
"서울특별시 금천구 시흥제4동(1154570000)","19,077","46","46"
"서울특별시 금천구 시흥제5동(1154571000)","17,931","49","49"
"서울특별시 영등포구 (1156000000)","375,040","1,936","1,936"
"서울특별시 영등포구 영등포본동(1156051500)","20,698","102","102"
"서울특별시 영등포구 영등포동(1156053500)","31,034","103","103"
"서울특별시 영등포구 여의동(1156054000)","33,693","143","143"
"서울특별시 영등포구 당산제1동(1156055000)","21,178","112","112"
"서울특별시 영등포구 당산제2동(1156056000)","36,590","184","184"
"서울특별시 영등포구 도림동(1156058500)","17,672","79","79"
"서울특별시 영등포구 문래동(1156060500)","32,025","244","244"
"서울특별시 영등포구 양평제1동(1156061000)","18,192","137","137"
"서울특별시 영등포구 양평제2동(1156062000)","22,826","177","177"
"서울특별시 영등포구 신길제1동(1156063000)","19,257","66","66"
"서울특별시 영등포구 신길제3동(1156065000)","15,939","69","69"
"서울특별시 영등포구 신길제4동(1156066000)","12,082","53","53"
"서울특별시 영등포구 신길제5동(1156067000)","9,768","45","45"
"서울특별시 영등포구 신길제6동(1156068000)","17,557","83","83"
"서울특별시 영등포구 신길제7동(1156069000)","19,737","143","143"
"서울특별시 영등포구 대림제1동(1156070000)","13,652","57","57"
"서울특별시 영등포구 대림제2동(1156071000)","11,700","29","29"
"서울특별시 영등포구 대림제3동(1156072000)","21,440","110","110"
"서울특별시 동작구 (1159000000)","378,324","1,679","1,679"
"서울특별시 동작구 노량진제1동(1159051000)","32,636","170","170"
"서울특별시 동작구 노량진제2동(1159052000)","8,788","10","10"
"서울특별시 동작구 상도제1동(1159053000)","44,209","172","172"
"서울특별시 동작구 상도제2동(1159054000)","27,411","169","169"
"서울특별시 동작구 상도제3동(1159055000)","23,857","56","56"
"서울특별시 동작구 상도제4동(1159056000)","28,355","118","118"
"서울특별시 동작구 흑석동(1159060500)","30,236","159","159"
"서울특별시 동작구 사당제1동(1159062000)","22,469","81","81"
"서울특별시 동작구 사당제2동(1159063000)","28,111","161","161"
"서울특별시 동작구 사당제3동(1159064000)","23,663","111","111"
"서울특별시 동작구 사당제4동(1159065000)","13,768","51","51"
"서울특별시 동작구 사당제5동(1159065100)","14,075","88","88"
"서울특별시 동작구 대방동(1159066000)","35,580","112","112"
"서울특별시 동작구 신대방제1동(1159067000)","23,223","96","96"
"서울특별시 동작구 신대방제2동(1159068000)","21,943","125","125"
"서울특별시 관악구 (1162000000)","481,145","1,301","1,301"
"서울특별시 관악구 보라매동(1162052500)","23,576","64","64"
"서울특별시 관악구 청림동(1162054500)","14,634","89","89"
"서울특별시 관악구 성현동(1162056500)","28,103","103","103"
"서울특별시 관악구 행운동(1162057500)","28,913","78","78"
"서울특별시 관악구 낙성대동(1162058500)","17,455","55","55"
"서울특별시 관악구 청룡동(1162059500)","35,961","101","101"
"서울특별시 관악구 은천동(1162060500)","32,218","111","111"
"서울특별시 관악구 중앙동(1162061500)","15,288","22","22"
"서울특별시 관악구 인헌동(1162062500)","25,200","52","52"
"서울특별시 관악구 남현동(1162063000)","17,648","60","60"
"서울특별시 관악구 서원동(1162064500)","23,078","43","43"
"서울특별시 관악구 신원동(1162065500)","17,562","32","32"
"서울특별시 관악구 서림동(1162066500)","23,427","57","57"
"서울특별시 관악구 신사동(1162068500)","22,231","29","29"
"서울특별시 관악구 신림동(1162069500)","23,002","27","27"
"서울특별시 관악구 난향동(1162071500)","14,683","44","44"
"서울특별시 관악구 조원동(1162072500)","19,672","96","96"
"서울특별시 관악구 대학동(1162073500)","24,381","57","57"
"서울특별시 관악구 삼성동(1162074500)","19,748","44","44"
"서울특별시 관악구 미성동(1162076500)","29,252","74","74"
"서울특별시 관악구 난곡동(1162077500)","25,113","63","63"
"서울특별시 서초구 (1165000000)","407,404","1,606","1,606"
"서울특별시 서초구 서초1동(1165051000)","20,254","78","78"
"서울특별시 서초구 서초2동(1165052000)","24,752","145","145"
"서울특별시 서초구 서초3동(1165053000)","32,025","122","122"
"서울특별시 서초구 서초4동(1165053100)","30,208","96","96"
"서울특별시 서초구 잠원동(1165054000)","26,726","100","100"
"서울특별시 서초구 반포본동(1165055000)","226","1","1"
"서울특별시 서초구 반포1동(1165056000)","33,778","104","104"
"서울특별시 서초구 반포2동(1165057000)","24,503","108","108"
"서울특별시 서초구 반포3동(1165058000)","23,804","107","107"
"서울특별시 서초구 반포4동(1165058100)","18,549","82","82"
"서울특별시 서초구 방배본동(1165059000)","20,002","33","33"
"서울특별시 서초구 방배1동(1165060000)","16,454","60","60"
"서울특별시 서초구 방배2동(1165061000)","17,987","67","67"
"서울특별시 서초구 방배3동(1165062000)","15,812","61","61"
"서울특별시 서초구 방배4동(1165062100)","22,637","68","68"
"서울특별시 서초구 양재1동(1165065100)","41,506","200","200"
"서울특별시 서초구 양재2동(1165065200)","21,188","76","76"
"서울특별시 서초구 내곡동(1165066000)","16,993","98","98"
"서울특별시 강남구 (1168000000)","556,570","2,253","2,253"
"서울특별시 강남구 신사동(1168051000)","15,364","56","56"
"서울특별시 강남구 논현1동(1168052100)","20,823","51","51"
"서울특별시 강남구 논현2동(1168053100)","20,282","76","76"
"서울특별시 강남구 압구정동(1168054500)","25,499","116","116"
"서울특별시 강남구 청담동(1168056500)","24,501","97","97"
"서울특별시 강남구 삼성1동(1168058000)","11,989","58","58"
"서울특별시 강남구 삼성2동(1168059000)","30,509","114","114"
"서울특별시 강남구 대치1동(1168060000)","23,768","24","24"
"서울특별시 강남구 대치2동(1168061000)","38,124","85","85"
"서울특별시 강남구 대치4동(1168063000)","18,441","44","44"
"서울특별시 강남구 역삼1동(1168064000)","34,237","128","128"
"서울특별시 강남구 역삼2동(1168065000)","36,256","107","107"
"서울특별시 강남구 도곡1동(1168065500)","20,484","62","62"
"서울특별시 강남구 도곡2동(1168065600)","32,338","91","91"
"서울특별시 강남구 개포1동(1168066000)","25,269","142","142"
"서울특별시 강남구 개포2동(1168067000)","41,847","331","331"
"서울특별시 강남구 개포3동(1168067500)","16,722","72","72"
"서울특별시 강남구 개포4동(1168069000)","23,082","129","129"
"서울특별시 강남구 세곡동(1168070000)","46,171","262","262"
"서울특별시 강남구 일원본동(1168072000)","22,664","79","79"
"서울특별시 강남구 일원1동(1168073000)","14,353","59","59"
"서울특별시 강남구 수서동(1168075000)","13,847","70","70"
"서울특별시 송파구 (1171000000)","652,752","2,804","2,804"
"서울특별시 송파구 풍납1동(1171051000)","11,645","50","50"
"서울특별시 송파구 풍납2동(1171052000)","23,363","108","108"
"서울특별시 송파구 거여1동(1171053100)","11,854","42","42"
"서울특별시 송파구 거여2동(1171053200)","23,436","153","153"
"서울특별시 송파구 마천1동(1171054000)","17,742","41","41"
"서울특별시 송파구 마천2동(1171055000)","17,305","48","48"
"서울특별시 송파구 방이1동(1171056100)","15,083","47","47"
"서울특별시 송파구 방이2동(1171056200)","26,372","86","86"
"서울특별시 송파구 오륜동(1171056600)","17,682","38","38"
"서울특별시 송파구 오금동(1171057000)","38,009","145","145"
"서울특별시 송파구 송파1동(1171058000)","23,336","108","108"
"서울특별시 송파구 송파2동(1171059000)","18,633","75","75"
"서울특별시 송파구 석촌동(1171060000)","30,673","112","112"
"서울특별시 송파구 삼전동(1171061000)","28,890","103","103"
"서울특별시 송파구 가락본동(1171062000)","25,024","138","138"
"서울특별시 송파구 가락1동(1171063100)","27,390","222","222"
"서울특별시 송파구 가락2동(1171063200)","31,064","118","118"
"서울특별시 송파구 문정1동(1171064100)","19,862","94","94"
"서울특별시 송파구 문정2동(1171064200)","28,824","114","114"
"서울특별시 송파구 장지동(1171064600)","28,283","159","159"
